leiden,cells,fraction
2,747908,0.11606487334724938
9,618631,0.09600288894313502
8,532243,0.08259667818095281
26,498116,0.07730064453413853
10,394015,0.061145623622045044
13,278784,0.04326338219572404
21,277611,0.04308134898249952
0,268499,0.04166729387687137
1,268255,0.04162942848554419
20,266176,0.041306796729113006
7,265681,0.04122997964424844
4,223774,0.034726598683805204
5,212968,0.033049658443307206
3,204645,0.03175804511537228
17,184304,0.028601406078543685
14,182990,0.028397491635085016
23,175055,0.027166090486801506
11,163815,0.025421799509270735
16,136766,0.02122417258300474
22,134405,0.02085777836610526
19,116080,0.018013994365815994
6,87536,0.013584364324656003
12,83247,0.012918771441859787
25,45265,0.007024495649282055
24,27234,0.00422633634182144
18,20716,0.003214833798089629
15,19563,0.0030359043054656986
27,7815,0.0012127788246799793
31,1782,0.00027654150551244055
