scanvi_tnk_superclass,marker_gene,log1p_cpm
NK_cell,CD3D,0.36845546890379505
T_cell,CD3D,1.6698223782920056
reference_other,CD3D,1.1815602494797703
NK_cell,TRAC,0.1135565165643374
T_cell,TRAC,0.2854155482626279
reference_other,TRAC,0.2299178414441025
NK_cell,TRDC,0.5841155225808874
T_cell,TRDC,0.04225394636819811
reference_other,TRDC,0.029513582450613633
NK_cell,NKG7,4.355778863370301
T_cell,NKG7,1.6485727595289443
reference_other,NKG7,1.0013525472071945
NK_cell,KLRD1,2.089488022254121
T_cell,KLRD1,0.46529830012232
reference_other,KLRD1,0.2447143795762308
NK_cell,FCER1G,1.3884480390613643
T_cell,FCER1G,0.09838575150367417
reference_other,FCER1G,0.4205598873766517
NK_cell,EPCAM,0.0013607338804294928
T_cell,EPCAM,0.0018196091783294513
reference_other,EPCAM,0.013766240089861576
