leiden,n_cells,phase4_tra_score_mean,phase4_trb_score_mean,phase4_trab_score_mean,phase4_trd_score_mean,phase4_trd_minus_trab_mean,phase4_trd_minus_trab_median,TRDC_detected_fraction,TRGC1_detected_fraction,TRGC2_detected_fraction,TRAC_detected_fraction,TRBC1_detected_fraction,TRBC2_detected_fraction
6,87536,-0.024808465,-0.07283384,-0.07208818,0.10207539,0.17416357,0.07358622,0.38402485834399563,0.16032261012611954,0.05278970937671358,0.13845732041674283,0.36885395722902575,0.44639919575945897
7,265681,-0.03702054,-0.12536073,-0.10372773,-0.03325918,0.070468545,0.07208495,0.009443656113911044,0.007971966380734791,0.015804668004110192,0.0738329048746429,0.062447069982422526,0.09319070614759806
23,175055,-0.029895397,-0.10929093,-0.0873862,-0.022739472,0.06464673,0.06825499,0.001456685041843992,0.002850532689726086,0.008151723743966182,0.03697123761103653,0.03077318557024935,0.05048698980320471
31,1782,-0.051556148,-0.10886415,-0.09929137,-0.033977963,0.065313414,0.06622155,0.014029180695847363,0.005611672278338945,0.007295173961840628,0.15656565656565657,0.03535353535353535,0.1111111111111111
27,7815,-0.031665027,-0.102855496,-0.087631255,-0.022016263,0.06561499,0.06438442,0.030070377479206652,0.010492642354446578,0.011516314779270634,0.06295585412667946,0.07357645553422905,0.1358925143953935
19,116080,-0.012554008,-0.061698172,-0.06367168,0.008855784,0.07252746,0.061531536,0.08748277050310131,0.04901791867677464,0.04987939352170916,0.15309269469331496,0.23481219848380427,0.2791436940041351
3,204645,-0.026265142,-0.09146274,-0.07941938,-0.017547136,0.061872244,0.061062485,0.019580248723399057,0.022023504116885338,0.024769723179163917,0.06549879058858023,0.09573651933836644,0.14074128368638375
8,532243,-0.021179156,-0.06167825,-0.061631646,0.07657468,0.13820633,0.060589954,0.30320361188404543,0.15597574791965324,0.07545613563729349,0.09765464271019064,0.5221862946060352,0.519292879380283
15,19563,-0.027907059,-0.08549161,-0.07563446,-0.018670151,0.056964304,0.058159363,0.012779226090067985,0.006338496140673721,0.006900782088636712,0.10872565557429842,0.06629862495527271,0.18703675305423503
17,184304,-0.021471346,-0.07686648,-0.07207677,-0.014480471,0.057596296,0.052724645,0.008822380414966576,0.0033314523830193592,0.003581040020835142,0.19657196805278235,0.03662969875857279,0.4786873860578175
16,136766,-0.012765151,-0.05166301,-0.060577963,-0.010805678,0.049772285,0.049953885,0.003092873959902315,0.003641255867686413,0.011355161370516065,0.10188204670751502,0.16319845575654768,0.25656230349648307
11,163815,-0.012878649,-0.062587716,-0.060735922,-0.005987156,0.054748766,0.049049187,0.016506424930561914,0.016134053658089918,0.058798034368037114,0.1408356988065806,0.1452431096053475,0.24013673961480939
1,268255,-0.02534626,-0.07951997,-0.0675217,-0.022753056,0.044768643,0.045787387,0.0021099327132765465,0.0018750815455443515,0.005968201897448323,0.04370468397606755,0.03832547389610632,0.06308176921213025
5,212968,-0.009312743,-0.049104556,-0.054162428,0.0506009,0.10476334,0.0437072,0.07595037752150557,0.0614270688554149,0.07395007700687427,0.20614364599376434,0.29411930430862854,0.4061643063746666
4,223774,-0.009077543,-0.045092035,-0.05373065,-0.010948271,0.042782377,0.04194136,0.0038163504249823484,0.004124697239178814,0.012155120791512866,0.11840964544585161,0.15545148229910535,0.2395005675368899
26,498116,-0.004626542,-0.047643196,-0.047965344,-0.00054745784,0.047417883,0.037443444,0.01793959639923231,0.03523677215748942,0.10830609737490865,0.18288912622762568,0.2300307558881867,0.3619538420769459
2,747908,-0.001398527,-0.04454854,-0.0484697,-0.009376558,0.039093144,0.03503946,0.006679965985121165,0.005698561855201442,0.01486145354776256,0.23334420811115805,0.22004444396904432,0.36456623007107825
24,27234,-0.0026007325,-0.051622294,-0.055790693,-0.012507297,0.043283395,0.03478655,0.01002423441286627,0.018212528457075713,0.048175075273555114,0.36806932510832047,0.31119189248733203,0.4974664022912536
10,394015,-0.0048694406,-0.04212983,-0.047649976,-0.0058600893,0.041789886,0.033509146,0.010425999010189967,0.01769983376267401,0.06684517086912935,0.21359085314010887,0.23621435732142176,0.3856934380670787
14,182990,-0.0022886053,-0.043110672,-0.04906563,-0.010793475,0.038272154,0.033103988,0.005213399639324553,0.0045029783048254005,0.009798349636592164,0.2284387124979507,0.23829170992950435,0.425629815836931
18,20716,-0.010675538,-0.042885587,-0.047399107,-0.0036033096,0.043795798,0.032489415,0.022591233828924504,0.013854025873720796,0.019984553002510137,0.10880478856922186,0.1627727360494304,0.24372465726974318
13,278784,-0.019092612,-0.052531168,-0.051369034,-0.013666706,0.037702326,0.031103278,0.012683654729109274,0.015581955922865013,0.03573734504132232,0.08906178259871442,0.10891945018365473,0.1614942033976125
22,134405,-0.007133638,-0.04311899,-0.052587673,-0.0180718,0.034515873,0.030601576,0.005111416985975224,0.0061679253003980505,0.01863769949034634,0.27224433614820875,0.27437967337524644,0.44110710167032474
9,618631,-0.0005861756,-0.036782507,-0.044737194,-0.010261116,0.03447608,0.030424312,0.005956701167578088,0.0022161837993892966,0.003654844325615755,0.1991251650822542,0.21840968202369426,0.3752026652398603
12,83247,-0.006515067,-0.032581154,-0.044978023,0.0029975167,0.04797554,0.029601555,0.022559371508883205,0.03183297896620899,0.09511453866205388,0.19679988468052903,0.3012240681345874,0.45357790671135295
0,268499,-0.009350766,-0.047158483,-0.041015536,-0.0056490963,0.03536644,0.029589675,0.020201192555651976,0.009277501964625567,0.01235013910666334,0.07690903876736971,0.09144913016435816,0.1237881705332236
20,266176,-0.008954009,-0.04875328,-0.05345983,-0.0061164466,0.04734338,0.029488496,0.02392402019716278,0.02822568526088002,0.11744484852127915,0.2910254868958884,0.2898570870401539,0.46988083072854053
25,45265,-0.0039132084,-0.01669276,-0.034712147,0.06261297,0.097325124,0.022036664,0.09945874295813542,0.08445819065503148,0.17896829780183365,0.3640782061195184,0.5405500938915276,0.768828012813432
21,277611,0.0011438171,-0.032864388,-0.044337437,-0.018529916,0.02580752,0.01857925,0.005658997662196383,0.002280169013475691,0.006303784792389351,0.34784644700678286,0.34354186253426555,0.5238553227357705
