module_name,gene_symbol
tra,TRAC
tra,TRAJ1
tra,TRAJ10
tra,TRAJ11
tra,TRAJ12
tra,TRAJ13
tra,TRAJ14
tra,TRAJ16
tra,TRAJ17
tra,TRAJ18
tra,TRAJ2
tra,TRAJ20
tra,TRAJ22
tra,TRAJ23
tra,TRAJ24
tra,TRAJ25
tra,TRAJ27
tra,TRAJ28
tra,TRAJ29
tra,TRAJ3
tra,TRAJ31
tra,TRAJ32
tra,TRAJ33
tra,TRAJ34
tra,TRAJ35
tra,TRAJ36
tra,TRAJ37
tra,TRAJ38
tra,TRAJ39
tra,TRAJ4
tra,TRAJ40
tra,TRAJ41
tra,TRAJ42
tra,TRAJ43
tra,TRAJ44
tra,TRAJ45
tra,TRAJ46
tra,TRAJ47
tra,TRAJ49
tra,TRAJ5
tra,TRAJ50
tra,TRAJ52
tra,TRAJ54
tra,TRAJ57
tra,TRAJ58
tra,TRAJ6
tra,TRAJ7
tra,TRAJ9
tra,TRAV1-1
tra,TRAV1-2
tra,TRAV10
tra,TRAV12-1
tra,TRAV12-2
tra,TRAV12-3
tra,TRAV13-1
tra,TRAV13-2
tra,TRAV14DV4
tra,TRAV15
tra,TRAV16
tra,TRAV17
tra,TRAV18
tra,TRAV19
tra,TRAV2
tra,TRAV20
tra,TRAV21
tra,TRAV22
tra,TRAV23DV6
tra,TRAV24
tra,TRAV25
tra,TRAV26-1
tra,TRAV26-2
tra,TRAV27
tra,TRAV29DV5
tra,TRAV3
tra,TRAV30
tra,TRAV34
tra,TRAV35
tra,TRAV36DV7
tra,TRAV38-1
tra,TRAV38-2DV8
tra,TRAV39
tra,TRAV4
tra,TRAV40
tra,TRAV41
tra,TRAV5
tra,TRAV6
tra,TRAV8-1
tra,TRAV8-2
tra,TRAV8-3
tra,TRAV8-4
tra,TRAV8-5
tra,TRAV8-6
tra,TRAV9-2
trb,TRBC1
trb,TRBC2
trb,TRBJ1-1
trb,TRBJ1-2
trb,TRBJ1-3
trb,TRBJ1-4
trb,TRBJ1-5
trb,TRBJ1-6
trb,TRBJ2-1
trb,TRBJ2-2
trb,TRBJ2-2P
trb,TRBJ2-3
trb,TRBJ2-4
trb,TRBJ2-5
trb,TRBJ2-6
trb,TRBJ2-7
trb,TRBV1
trb,TRBV10-1
trb,TRBV10-2
trb,TRBV10-3
trb,TRBV11-1
trb,TRBV11-2
trb,TRBV11-3
trb,TRBV12-1
trb,TRBV12-2
trb,TRBV12-3
trb,TRBV12-4
trb,TRBV12-5
trb,TRBV13
trb,TRBV14
trb,TRBV15
trb,TRBV16
trb,TRBV18
trb,TRBV19
trb,TRBV2
trb,TRBV20-1
trb,TRBV21-1
trb,TRBV23-1
trb,TRBV24-1
trb,TRBV25-1
trb,TRBV27
trb,TRBV28
trb,TRBV29-1
trb,TRBV3-1
trb,TRBV30
trb,TRBV4-1
trb,TRBV4-2
trb,TRBV5-1
trb,TRBV5-3
trb,TRBV5-4
trb,TRBV5-5
trb,TRBV5-6
trb,TRBV5-7
trb,TRBV6-1
trb,TRBV6-2
trb,TRBV6-4
trb,TRBV6-5
trb,TRBV6-6
trb,TRBV6-7
trb,TRBV6-8
trb,TRBV7-2
trb,TRBV7-3
trb,TRBV7-4
trb,TRBV7-5
trb,TRBV7-6
trb,TRBV7-7
trb,TRBV7-9
trb,TRBV9
trd,TRDC
trd,TRDJ1
trd,TRDJ2
trd,TRDJ3
trd,TRDV1
trd,TRDV2
trd,TRDV3
trab,TRAC
trab,TRAJ1
trab,TRAJ10
trab,TRAJ11
trab,TRAJ12
trab,TRAJ13
trab,TRAJ14
trab,TRAJ16
trab,TRAJ17
trab,TRAJ18
trab,TRAJ2
trab,TRAJ20
trab,TRAJ22
trab,TRAJ23
trab,TRAJ24
trab,TRAJ25
trab,TRAJ27
trab,TRAJ28
trab,TRAJ29
trab,TRAJ3
trab,TRAJ31
trab,TRAJ32
trab,TRAJ33
trab,TRAJ34
trab,TRAJ35
trab,TRAJ36
trab,TRAJ37
trab,TRAJ38
trab,TRAJ39
trab,TRAJ4
trab,TRAJ40
trab,TRAJ41
trab,TRAJ42
trab,TRAJ43
trab,TRAJ44
trab,TRAJ45
trab,TRAJ46
trab,TRAJ47
trab,TRAJ49
trab,TRAJ5
trab,TRAJ50
trab,TRAJ52
trab,TRAJ54
trab,TRAJ57
trab,TRAJ58
trab,TRAJ6
trab,TRAJ7
trab,TRAJ9
trab,TRAV1-1
trab,TRAV1-2
trab,TRAV10
trab,TRAV12-1
trab,TRAV12-2
trab,TRAV12-3
trab,TRAV13-1
trab,TRAV13-2
trab,TRAV14DV4
trab,TRAV15
trab,TRAV16
trab,TRAV17
trab,TRAV18
trab,TRAV19
trab,TRAV2
trab,TRAV20
trab,TRAV21
trab,TRAV22
trab,TRAV23DV6
trab,TRAV24
trab,TRAV25
trab,TRAV26-1
trab,TRAV26-2
trab,TRAV27
trab,TRAV29DV5
trab,TRAV3
trab,TRAV30
trab,TRAV34
trab,TRAV35
trab,TRAV36DV7
trab,TRAV38-1
trab,TRAV38-2DV8
trab,TRAV39
trab,TRAV4
trab,TRAV40
trab,TRAV41
trab,TRAV5
trab,TRAV6
trab,TRAV8-1
trab,TRAV8-2
trab,TRAV8-3
trab,TRAV8-4
trab,TRAV8-5
trab,TRAV8-6
trab,TRAV9-2
trab,TRBC1
trab,TRBC2
trab,TRBJ1-1
trab,TRBJ1-2
trab,TRBJ1-3
trab,TRBJ1-4
trab,TRBJ1-5
trab,TRBJ1-6
trab,TRBJ2-1
trab,TRBJ2-2
trab,TRBJ2-2P
trab,TRBJ2-3
trab,TRBJ2-4
trab,TRBJ2-5
trab,TRBJ2-6
trab,TRBJ2-7
trab,TRBV1
trab,TRBV10-1
trab,TRBV10-2
trab,TRBV10-3
trab,TRBV11-1
trab,TRBV11-2
trab,TRBV11-3
trab,TRBV12-1
trab,TRBV12-2
trab,TRBV12-3
trab,TRBV12-4
trab,TRBV12-5
trab,TRBV13
trab,TRBV14
trab,TRBV15
trab,TRBV16
trab,TRBV18
trab,TRBV19
trab,TRBV2
trab,TRBV20-1
trab,TRBV21-1
trab,TRBV23-1
trab,TRBV24-1
trab,TRBV25-1
trab,TRBV27
trab,TRBV28
trab,TRBV29-1
trab,TRBV3-1
trab,TRBV30
trab,TRBV4-1
trab,TRBV4-2
trab,TRBV5-1
trab,TRBV5-3
trab,TRBV5-4
trab,TRBV5-5
trab,TRBV5-6
trab,TRBV5-7
trab,TRBV6-1
trab,TRBV6-2
trab,TRBV6-4
trab,TRBV6-5
trab,TRBV6-6
trab,TRBV6-7
trab,TRBV6-8
trab,TRBV7-2
trab,TRBV7-3
trab,TRBV7-4
trab,TRBV7-5
trab,TRBV7-6
trab,TRBV7-7
trab,TRBV7-9
trab,TRBV9
