tissue,n_cells,phase4_trab_score_mean,phase4_trd_score_mean,phase4_trd_minus_trab_mean,phase4_trd_minus_trab_median
blood,1924475,-0.045511767,0.0008124143,0.04632418,0.012410499
tumor,1145163,-0.05161832,-0.019048631,0.032569688,0.011855906
Tumor,236892,-0.033132803,-0.0067534503,0.02637935,-0.0021884423
Normal,227320,-0.044730064,0.027651185,0.07238125,0.013801876
heart,169851,-0.03312401,0.032803122,0.06592713,0.00936424
csf,128340,-0.030479452,-0.017576583,0.012902871,-0.004758222
rectum,124404,-0.047390576,-0.011475451,0.035915125,0.013297651
duodenum,102207,-0.049317084,0.0511396,0.10045668,0.0111657195
liver_tumor,95702,-0.053346194,-0.025974624,0.027371572,0.017392913
stomach,93885,-0.048773434,-0.0026983062,0.046075124,0.0065023005
peripheral blood,83669,-0.050580118,0.113503374,0.1640835,0.013465103
"Descending, sigmoidal colon; rectum",80500,-0.03095097,0.0018986122,0.03284958,-0.025604423
jejunum,72733,-0.05381615,0.0717087,0.12552485,0.013412576
pancreas,67484,-0.04652217,-0.020285033,0.026237138,0.002673043
esophagus,53012,-0.054410458,-0.004119788,0.05029067,0.013102457
sigmoid colon,48557,-0.048652984,0.01347121,0.06212419,0.007950645
bone_marrow,44105,-0.042616334,0.011575231,0.054191563,0.011502199
spleen,37330,-0.052676987,0.014472248,0.06714924,0.009717016
,36800,-0.043349613,0.01484507,0.058194686,0.006016005
lung,32691,-0.057779483,0.06628624,0.12406573,0.024782773
liver,23706,-0.05862912,0.022624282,0.08125341,0.015726887
ileum,22355,-0.04532739,0.015181027,0.060508415,0.009998187
balf,21039,-0.06362223,-0.018964438,0.044657793,0.030014269
trachea,20936,-0.058760513,-0.018248508,0.040512003,0.022668388
mesenteric lymph node,20733,-0.045513444,-0.011316866,0.034196578,0.007119205
bladder,20214,-0.051623892,0.024445059,0.076068945,0.016819812
ascending colon,19489,-0.045387298,0.015062225,0.060449522,0.012389287
skin,19007,-0.05921505,-0.0044687386,0.05474631,0.022273138
muscle,17737,-0.056753658,0.045171045,0.1019247,0.021193467
lymph_node_metastasis,16753,-0.09352831,-0.09130437,0.0022239394,0.0044645965
transverse colon,15128,-0.046112906,0.009939519,0.056052428,0.013685949
lesser gastric curvature lymph node,14092,-0.05232474,-0.026872551,0.025452187,0.01562059
bone marrow,13741,-0.050178435,0.06981436,0.1199928,0.0062733106
cord blood,12498,-0.057739574,0.521193,0.5789325,0.59577644
thymus,12278,-0.04654982,-0.0042589293,0.042290892,0.00019193068
"Sigmoidal colon, rectum",9697,-0.025936252,-0.0026090103,0.02332724,-0.031195521
"Ascending, transverse, descending, sigmoidal colon; rectum",8816,-0.027133407,-0.02722692,-9.3511386e-05,-0.030566754
kidney,7514,-0.048832282,-0.0047410787,0.044091206,0.0071999915
adjacent_normal_liver,6288,-0.04676639,-0.022205625,0.024560763,0.020334844
"Ascending, Descending, sigmoidal colon; rectum",4977,-0.03252362,0.0638394,0.09636302,-0.018241063
lymph node,4791,-0.054896764,0.09385136,0.14874811,0.04888642
mixed_duodenum_pbmc,3120,-0.035352126,0.027448896,0.062801026,-0.012587756
Sigmoidal colon,3078,-0.031873,-0.050692588,-0.018819593,-0.031617254
adjacent_normal_tissue,3008,-0.048075356,-0.02215169,0.025923664,0.011053242
tracheal_aspirate,2789,-0.07730561,-0.034627467,0.042678133,0.040883042
