source_gse_id,simple_annotation_plus6,n_cells
GDT_2020AUG_woCOV,gdT_cell,14877
GDT_2020AUG_woCOV,CD4_T,9843
GDT_2020AUG_woCOV,CD8_T,1137
GDT_2020AUG_woCOV,Treg,28
GDT_2020AUG_woCOV,NK_cell,17
GDT_2020AUG_woCOV,other,2
GDTlung2023july_7p,CD8_T,12219
GDTlung2023july_7p,CD4_T,2854
GDTlung2023july_7p,NK_cell,76
GDTlung2023july_7p,Treg,22
GDTlung2023july_7p,gdT_cell,3
GDTlung2023july_7p,other,1
GSE125527,CD4_T,29344
GSE125527,CD8_T,12966
GSE125527,Treg,2691
GSE125527,NK_cell,762
GSE125527,other,607
GSE125527,gdT_cell,26
GSE144469,CD8_T,49393
GSE144469,CD4_T,47775
GSE144469,Treg,5720
GSE144469,other,3355
GSE144469,NK_cell,799
GSE144469,gdT_cell,26
GSE145926,NK_cell,11052
GSE145926,CD8_T,8098
GSE145926,CD4_T,1010
GSE145926,other,651
GSE145926,Treg,224
GSE145926,gdT_cell,4
GSE162498,CD4_T,40197
GSE162498,CD8_T,18104
GSE162498,NK_cell,8858
GSE162498,Treg,6779
GSE162498,other,1902
GSE162498,gdT_cell,40
GSE171037,CD4_T,20043
GSE171037,CD8_T,9196
GSE171037,NK_cell,1517
GSE171037,Treg,1055
GSE171037,gdT_cell,95
GSE171037,other,31
GSE178882,CD4_T,36230
GSE178882,CD8_T,24168
GSE178882,NK_cell,6090
GSE178882,Treg,1163
GSE178882,other,79
GSE178882,gdT_cell,25
GSE188620,CD4_T,51707
GSE188620,CD8_T,41691
GSE188620,NK_cell,27863
GSE188620,Treg,1670
GSE188620,other,233
GSE188620,gdT_cell,54
GSE190870,NK_cell,16735
GSE190870,CD4_T,10
GSE190870,other,5
GSE190870,CD8_T,3
GSE206325,CD8_T,326160
GSE206325,CD4_T,143715
GSE206325,Treg,28810
GSE206325,NK_cell,2001
GSE206325,other,220
GSE206325,gdT_cell,106
GSE211504,CD4_T,26701
GSE211504,CD8_T,9693
GSE211504,NK_cell,429
GSE211504,Treg,407
GSE211504,gdT_cell,13
GSE211504,other,1
GSE212217,CD4_T,118598
GSE212217,CD8_T,82671
GSE212217,NK_cell,7220
GSE212217,Treg,5007
GSE212217,gdT_cell,132
GSE212217,other,78
GSE228597,CD8_T,95622
GSE228597,CD4_T,51163
GSE228597,Treg,2024
GSE228597,NK_cell,907
GSE228597,gdT_cell,93
GSE228597,other,3
GSE234069,CD4_T,13200
GSE234069,CD8_T,6932
GSE234069,Treg,461
GSE234069,NK_cell,104
GSE234069,gdT_cell,102
GSE234069,other,8
GSE235863,CD4_T,129236
GSE235863,CD8_T,106300
GSE235863,Treg,4995
GSE235863,NK_cell,1146
GSE235863,gdT_cell,48
GSE235863,other,41
GSE240865,CD4_T,17275
GSE240865,NK_cell,2858
GSE240865,CD8_T,1292
GSE240865,Treg,248
GSE240865,other,7
GSE243013,CD8_T,400015
GSE243013,CD4_T,284276
GSE243013,Treg,71538
GSE243013,NK_cell,3113
GSE243013,other,253
GSE243013,gdT_cell,241
GSE243572,NK_cell,95861
GSE243572,CD4_T,48425
GSE243572,CD8_T,41621
GSE243572,Treg,1744
GSE243572,other,538
GSE243572,gdT_cell,28
GSE243905,CD4_T,213205
GSE243905,CD8_T,94291
GSE243905,NK_cell,29028
GSE243905,Treg,11867
GSE243905,other,1717
GSE243905,gdT_cell,330
GSE252762,CD8_T,33276
GSE252762,CD4_T,11324
GSE252762,Treg,445
GSE252762,gdT_cell,51
GSE252762,NK_cell,28
GSE252762,other,8
GSE254176,CD4_T,57375
GSE254176,CD8_T,31573
GSE254176,NK_cell,4258
GSE254176,Treg,2912
GSE254176,other,804
GSE254176,gdT_cell,31
GSE254249,CD8_T,205460
GSE254249,CD4_T,165690
GSE254249,Treg,19410
GSE254249,NK_cell,8511
GSE254249,other,7115
GSE254249,gdT_cell,308
GSE267645,CD4_T,43709
GSE267645,CD8_T,38348
GSE267645,NK_cell,8030
GSE267645,Treg,1296
GSE267645,other,1107
GSE267645,gdT_cell,11
GSE287301,CD4_T,182436
GSE287301,CD8_T,114475
GSE287301,Treg,38355
GSE287301,NK_cell,4178
GSE287301,other,681
GSE287301,gdT_cell,102
GSE287541,CD4_T,63875
GSE287541,CD8_T,40159
GSE287541,Treg,4174
GSE287541,NK_cell,2625
GSE287541,gdT_cell,32
GSE287541,other,9
GSE301528,CD4_T,19515
GSE301528,CD8_T,16185
GSE301528,NK_cell,7256
GSE301528,Treg,796
GSE301528,other,333
GSE301528,gdT_cell,20
GSE308075,Treg,64406
GSE308075,CD4_T,43338
GSE308075,CD8_T,3861
GSE308075,NK_cell,716
GSE308075,gdT_cell,13
GSE308075,other,3
GSE311112,CD4_T,64136
GSE311112,CD8_T,21134
GSE311112,NK_cell,2875
GSE311112,Treg,2406
GSE311112,gdT_cell,30
GSE311112,other,18
HRA005041,CD4_T,515272
HRA005041,CD8_T,207540
HRA005041,Treg,38887
HRA005041,gdT_cell,2863
HRA005041,NK_cell,1795
HRA005041,other,282
MalteGDT,CD8_T,7639
MalteGDT,CD4_T,138
MalteGDT,NK_cell,22
MalteGDT,gdT_cell,1
